Differentially methylated site	Methylation status in ES cells
31856228	methylated
31856230	methylated
31856247	methylated
31856254	methylated
31856259	methylated
12362433	methylated
12362421	methylated
45186964	methylated
45186971	methylated
45186987	methylated
17306426	methylated
17306392	methylated
17306247	methylated
8285258	methylated
50401921	methylated
34132279	methylated
34132266	methylated
34132258	methylated
54890804	methylated
54890797	methylated
54890783	methylated
60927879	methylated
60927873	methylated
60927865	methylated
60927862	methylated
60927850	methylated
60927846	methylated
52987072	methylated
52986908	methylated
28209399	methylated
30964996	methylated
30964991	methylated
30964966	methylated
18921812	methylated
18921789	methylated
9510036	methylated
9509778	methylated
9509787	methylated
20456219	methylated
19153900	methylated
19153880	methylated
19153702	methylated
38874539	methylated
54309129	methylated
50401344	methylated
41143603	methylated
31273682	methylated
54310470	methylated
18806939	methylated
13993695	methylated
13143471	methylated
12896547	methylated
38495012	methylated
38495003	methylated
49663777	methylated
35078622	methylated
12220479	methylated
8246654	unmethylated
3139500	methylated
30964960	methylated
30964955	methylated
59604058	methylated
54890737	methylated
54890742	methylated
26717200	methylated
22441223	methylated
42189297	methylated
59607209	methylated
59607224	unmethylated
50401213	methylated
50401229	methylated
9834155	methylated
30967480	methylated
13144958	methylated
13144754	methylated
28531843	methylated
39367523	methylated
52986782	methylated
52986801	methylated
41149686	methylated
36071864	methylated
36071834	methylated
50401896	methylated
50401756	methylated
59996809	methylated
38874755	methylated
38874640	methylated
29852461	methylated
47841612	methylated
47841633	methylated
31469652	methylated
18923180	methylated
13925850	methylated
13925846	methylated
13925682	methylated
13925712	methylated
13925451	methylated
39524006	methylated
47842575	methylated
47842555	methylated
24261585	methylated
50401142	methylated
50401140	methylated
50401130	methylated
50400988	methylated
52995796	methylated
52995791	methylated
52995788	methylated
31860206	methylated
38377550	methylated
38377406	methylated
38377418	methylated
60926887	methylated
39125405	methylated
45203189	methylated
45203193	methylated
45203201	methylated
45203203	methylated
45203220	methylated
50401014	methylated
50401017	methylated
33536791	methylated
58898906	unmethylated
8243720	methylated
8243581	methylated
8243592	methylated
7841464	methylated
7841457	methylated
33443994	methylated
33444005	methylated
41002586	methylated
41002560	methylated
45187805	methylated
45187810	methylated
39125252	methylated
33373659	methylated
33373654	methylated
33373646	methylated
33373642	methylated
33373530	methylated
30965099	methylated
30965086	methylated
37618394	methylated
11025215	methylated
59223841	methylated
10567121	methylated
10567127	methylated
52986741	methylated
52986748	methylated
56524864	unmethylated
34132090	methylated
34132069	methylated
34132062	methylated
34131977	methylated
34131990	methylated
29086039	methylated
19039484	methylated
56612774	methylated
35077845	methylated
35077827	methylated
35077580	methylated
59604117	methylated
9765460	methylated
49896594	unmethylated
44479653	methylated
44479657	methylated
11923781	methylated
11923757	methylated
60926158	methylated
60925997	methylated
13925067	methylated
29282342	methylated
14792131	methylated
14792026	methylated
14792033	methylated
59603848	methylated
45189644	methylated
45189556	methylated
45189583	methylated
47739954	methylated
47739936	methylated
51924143	methylated
31860526	methylated
13138967	methylated
9829821	methylated
9829839	methylated
9829843	methylated
13925566	methylated
27493071	methylated
36889909	methylated
59223915	methylated
27493409	methylated
27493412	methylated
27493420	methylated
59604239	methylated
59604237	methylated
39233522	methylated
34131490	methylated
34131502	methylated
4957264	methylated
4956947	methylated
13927148	methylated
29084393	methylated
29084229	methylated
29084235	methylated
55977671	methylated
55977466	methylated
48866661	methylated
8291102	methylated
60932102	methylated
52985963	methylated
52985961	methylated
52985953	methylated
52985949	methylated
52985758	methylated
52985767	methylated
39968789	methylated
39968797	methylated
27418988	methylated
15673020	methylated
57831880	methylated
57831877	methylated
57831861	methylated
35077363	methylated
52990563	methylated
52990550	methylated
52990547	methylated
19154206	methylated
12721830	unmethylated
8298729	methylated
8298706	methylated
26125263	methylated
26125268	methylated
11423587	methylated
9831104	methylated
9831119	methylated
40066171	methylated
40066164	methylated
45252842	methylated
45252856	methylated
11422346	methylated
11422350	methylated
12899217	methylated
12899212	methylated
33373545	methylated
33373460	methylated
8248088	methylated
60926231	methylated
60926233	methylated
11773494	methylated
22032858	methylated
4799257	methylated
13926447	methylated
45203227	methylated
45203154	methylated
39605240	methylated
29690228	methylated
55977704	unmethylated
26123992	methylated
11422635	methylated
11422449	methylated
11422465	methylated
11422477	methylated
50401975	methylated
28209515	methylated
28209511	methylated
28209503	methylated
28209289	methylated
13143540	methylated
13143535	methylated
60928204	methylated
9502561	methylated
9502546	methylated
9502544	methylated
9502542	methylated
9502538	methylated
37404052	methylated
5406784	methylated
27238403	methylated
27238274	methylated
21933986	methylated
38381164	methylated
38381167	methylated
38381173	methylated
38381183	methylated
38381186	methylated
13927000	methylated
8894989	methylated
32466209	methylated
4063253	methylated
13138829	methylated
13138826	methylated
13138822	methylated
36071365	methylated
36071204	methylated
36071224	methylated
16164764	methylated
16164751	methylated
16164740	methylated
34629964	methylated
8249854	methylated
45203877	methylated
35077813	unmethylated
12365112	methylated
60926971	unmethylated
60926797	methylated
38376187	methylated
38375971	methylated
19153932	methylated
58706899	methylated
58706918	methylated
13138382	methylated
30963992	methylated
30963972	methylated
30963970	methylated
30963962	methylated
30963958	methylated
23791792	methylated
45187518	methylated
45187355	methylated
28112151	methylated
41148810	methylated
41145735	methylated
41145743	methylated
4957139	methylated
4957126	methylated
4957117	methylated
50400960	methylated
17891104	unmethylated
36071060	methylated
36071057	methylated
36070839	methylated
43063267	unmethylated
30160714	methylated
13925582	methylated
20845845	methylated
48744335	methylated
59609372	methylated
59609261	methylated
53293036	methylated
15840017	methylated
15839817	methylated
15839822	methylated
15839834	methylated
15839843	methylated
13927725	methylated
13927523	methylated
6995535	methylated
35077337	methylated
35077321	methylated
35077204	methylated
35077209	methylated
35077222	methylated
39470732	methylated
39470726	methylated
13947787	methylated
59603772	methylated
59603775	methylated
12896567	methylated
36071960	methylated
52986981	methylated
52986976	methylated
9818691	unmethylated
